"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1768,"ESS9e03_1",9,"17.02.2021","BG",3,NA,0,0,0,1,0,3,8,8,3,2,7,7,2,NA,3,4,4,3,1,2,2,3,2,2,2,2,2,3,3,2,1,1,2,2,3.4,0,4,5.16666666666667,4.5,5.28571428571429,2.375,5.21428571428571,7.5,NA
1769,"ESS9e03_1",9,"17.02.2021","BG",5,180,2,2,2,2,4,NA,1,9,7,5,6,6,NA,NA,3,5,4,3,1,1,1,2,4,3,1,1,1,4,2,NA,1,1,2,2,3.5,2,5.5,4.16666666666667,4.5,5.66666666666667,3.625,5.83333333333333,10.5,180
1770,"ESS9e03_1",9,"17.02.2021","BG",1,NA,3,3,3,5,5,4,4,5,5,2,6,7,NA,NA,4,3,4,4,3,4,4,5,NA,NA,NA,NA,NA,5,3,4,4,3,5,4,4.75,3,4,3,4,3.41666666666667,1.875,3.9,NA,NA
1771,"ESS9e03_1",9,"17.02.2021","BG",5,150,4,5,4,4,4,3,8,5,5,2,7,1,1,NA,3,4,3,3,2,2,3,1,4,3,3,3,2,3,2,2,3,3,1,4,4.6,4,5,3.83333333333333,4.16666666666667,4.85714285714286,4.125,5.07142857142857,10.5,150
1772,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,6,0,8,8,3,7,10,10,4,5,2,1,NA,4,5,3,2,2,2,2,2,4,2,2,3,2,4,2,2,2,2,2,4,7,0,8,3.5,4.16666666666667,5,4.625,5.35714285714286,NA,NA
1773,"ESS9e03_1",9,"17.02.2021","BG",5,120,2,4,1,3,3,2,7,7,6,7,5,4,NA,NA,3,4,4,2,3,5,2,5,4,3,2,3,2,5,5,4,3,3,3,5,4.75,1.5,5.5,2.83333333333333,4.5,4.42857142857143,4.625,3.92857142857143,10.5,120
1774,"ESS9e03_1",9,"17.02.2021","BG",5,300,5,5,5,5,5,3,NA,10,NA,5,5,5,1,NA,3,1,1,1,1,3,3,3,4,4,1,1,1,1,1,1,1,1,4,1,4,5,7.5,5.5,6.5,4.85714285714286,3.625,6.21428571428572,10.5,300
1775,"ESS9e03_1",9,"17.02.2021","BG",1,NA,3,4,1,3,3,3,5,7,7,1,7,7,1,NA,3,3,3,3,3,3,3,3,4,2,2,NA,2,2,2,2,2,2,2,4,4,2,5.5,4.16666666666667,4.5,4.71428571428571,2.125,5.21428571428571,NA,NA
1776,"ESS9e03_1",9,"17.02.2021","BG",5,90,5,5,5,5,5,NA,3,9,2,3,5,5,1,NA,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.4,5,7,2.5,2.83333333333333,2.66666666666667,2.875,2.5,10.5,90
1777,"ESS9e03_1",9,"17.02.2021","BG",5,60,0,2,0,0,0,4,5,10,8,8,5,1,1,NA,1,5,1,1,3,1,1,2,4,1,1,2,1,4,5,5,1,1,1,5,3,0,6,3.16666666666667,4.83333333333333,5.57142857142857,6.125,5.35714285714286,10.5,60
1778,"ESS9e03_1",9,"17.02.2021","BG",5,210,3,3,2,NA,NA,NA,3,8,7,5,5,5,1,NA,5,4,4,4,4,4,4,5,6,4,4,4,4,5,4,4,4,4,3,4,4,2.5,5.5,2.5,3.5,3.16666666666667,3.875,3.5,10.5,210
1779,"ESS9e03_1",9,"17.02.2021","BG",5,60,3,4,2,4,4,3,7,8,6,1,5,6,1,NA,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.6,2.5,6,5.5,4.5,5.14285714285714,2.875,5.5,10.5,60
1780,"ESS9e03_1",9,"17.02.2021","BG",5,180,5,4,4,4,3,5,5,9,5,1,5,7,1,NA,2,5,2,2,2,4,2,2,2,2,2,2,3,3,2,4,1,2,2,2,3.8,4.5,6.5,5.16666666666667,4.5,5.14285714285714,2.625,4.78571428571429,10.5,180
1781,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,2,1,2,3,NA,2,9,4,5,6,6,55,NA,4,5,2,3,1,3,2,2,5,4,2,2,1,5,1,3,1,1,2,5,2.75,1,5.5,2.5,4.16666666666667,5.16666666666667,3.625,5.64285714285714,NA,NA
1782,"ESS9e03_1",9,"17.02.2021","BG",5,600,1,4,1,3,1,1,6,5,4,5,5,4,1,NA,2,4,2,2,2,4,4,3,2,2,2,4,2,2,2,4,2,2,2,3,3.2,1,4.5,5.16666666666667,4.16666666666667,5.14285714285714,4.375,4.92857142857143,10.5,NA
1783,"ESS9e03_1",9,"17.02.2021","BG",2,NA,0,0,0,0,0,1,NA,10,0,0,6,6,2,NA,6,3,2,1,2,2,2,2,4,6,3,4,1,6,2,4,2,1,1,5,1.25,0,5,2.5,4.83333333333333,4.42857142857143,2.625,5.35714285714286,6,NA
1784,"ESS9e03_1",9,"17.02.2021","BG",1,NA,2,7,1,NA,NA,NA,NA,3,6,6,5,5,1,NA,4,6,2,NA,2,5,5,5,3,2,2,3,2,3,4,5,2,2,2,5,4,1.5,5,3.83333333333333,3,4.16666666666667,4.375,4.35714285714286,NA,NA
1785,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,1,0,NA,NA,NA,NA,10,NA,5,1,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,6.5,4.66666666666667,6.5,NA,NA
1786,"ESS9e03_1",9,"17.02.2021","BG",2,NA,0,0,0,2,2,NA,NA,8,NA,10,4,NA,NA,NA,5,6,2,5,1,2,3,1,6,5,NA,NA,2,5,NA,5,2,2,1,6,2,0,4,1.83333333333333,2,4.66666666666667,6.83333333333333,4.9,6,NA
1787,"ESS9e03_1",9,"17.02.2021","BG",5,240,0,0,0,0,0,3,0,7,7,5,4,1,2,NA,2,3,1,2,3,3,2,1,1,2,3,4,4,3,2,1,3,1,2,3,2.4,0,3.5,5.16666666666667,4.5,5.14285714285714,5.375,5.35714285714286,10.5,240
1788,"ESS9e03_1",9,"17.02.2021","BG",4,180,5,3,5,6,7,2,8,3,9,0,7,7,1,NA,4,4,3,4,2,5,4,4,3,2,3,2,2,4,3,4,3,3,2,3,6.4,5,3,4.16666666666667,4.16666666666667,4.42857142857143,1.875,4.21428571428571,9,180
1789,"ESS9e03_1",9,"17.02.2021","BG",2,NA,5,8,4,6,NA,3,9,6,5,6,7,4,NA,NA,5,6,1,2,1,2,3,1,6,6,3,5,2,6,1,4,2,3,1,5,6.66666666666667,4.5,7,1.83333333333333,3.16666666666667,4.42857142857143,4.375,5.21428571428571,6,NA
1790,"ESS9e03_1",9,"17.02.2021","BG",2,NA,8,10,2,8,8,3,6,7,5,6,5,5,1,NA,4,5,5,5,5,4,5,5,5,5,5,5,5,5,6,5,5,5,6,6,5.8,5,8.5,2.16666666666667,2.5,2.85714285714286,3.375,2.5,6,NA
1791,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,10,2,2,4,1,10,10,NA,10,3,1,1,NA,NA,5,1,1,1,3,4,1,NA,1,3,NA,1,6,3,1,1,1,NA,NA,4.5,3.5,10,1.5,4.5,5.91666666666667,7.33333333333333,5.64285714285714,NA,NA
1792,"ESS9e03_1",9,"17.02.2021","BG",5,600,1,1,1,4,4,3,5,7,7,3,6,7,1,NA,3,4,5,4,5,4,5,5,3,3,3,4,5,4,3,4,4,4,5,3,4.4,1,4,4.16666666666667,3.5,3.42857142857143,2.125,3.5,10.5,NA
1793,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,NA,0,10,0,4,6,6,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,0.4,0,5,6.5,6.5,6.5,3.625,6.5,NA,NA
