"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"1",3,NA,7,9,3,6,5,2,2,8,6,10,3,1,1,NA,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,4
"2",5,120,5,6,4,4,4,1,6,6,6,7,5,6,1,NA,2,6,1,3,3,4,2,2,2,2,2,3,3,5,3,3,2,2,3,3
"3",1,NA,7,8,5,8,4,2,6,9,8,8,4,4,65,NA,3,3,3,2,3,2,2,2,2,2,2,2,2,6,2,4,2,3,1,6
"4",5,180,4,6,5,5,5,2,2,7,5,5,7,7,1,NA,2,3,2,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2
"5",5,120,6,4,5,6,7,1,6,5,5,10,6,1,1,NA,2,5,2,2,2,5,2,3,2,1,1,3,3,3,5,5,1,1,5,2
"6",5,0,3,4,3,3,1,1,5,7,7,0,7,7,1,NA,2,5,1,5,3,6,3,2,3,1,1,3,2,2,3,6,1,1,2,2
"7",3,NA,6,7,5,6,6,1,10,9,9,9,3,2,1,NA,2,5,2,2,4,4,2,4,2,2,2,4,4,4,4,5,2,2,3,4
"8",5,60,8,7,8,8,8,1,9,7,7,1,7,7,1,NA,2,3,2,1,3,3,2,1,2,1,1,1,2,4,2,2,1,2,2,1
"9",5,90,4,6,5,5,NA,2,5,5,5,5,7,7,33,NA,3,4,3,4,4,5,3,3,3,2,3,3,4,3,3,5,3,4,4,3
"10",5,120,2,6,2,1,4,1,5,7,7,6,6,7,1,NA,1,2,1,2,2,3,2,4,1,1,2,2,3,4,2,3,1,1,5,2
"11",1,NA,3,8,4,5,5,2,4,7,3,8,7,2,1,NA,3,5,1,1,2,1,1,1,3,2,2,2,2,5,1,4,1,1,1,1
"12",3,NA,1,6,1,1,5,1,1,5,5,0,7,7,1,NA,2,4,2,2,2,3,2,1,1,1,4,2,2,4,3,2,4,1,4,2
"13",5,240,8,9,7,6,8,1,8,8,6,2,7,7,1,NA,2,5,1,1,3,3,1,2,2,1,2,3,1,3,3,4,1,2,2,2
"14",5,150,6,8,6,6,7,2,7,9,9,6,5,6,1,NA,1,5,1,3,3,4,2,3,4,3,2,5,2,6,3,5,1,2,2,2
"15",5,120,3,6,4,4,4,1,6,8,8,7,6,1,1,NA,4,5,3,3,2,3,2,1,2,4,1,3,3,5,2,4,1,2,1,2
"16",5,390,9,7,6,9,8,1,3,8,9,7,7,7,1,NA,2,5,1,3,2,2,2,2,2,1,2,2,3,3,2,2,1,1,4,3
"17",2,NA,7,8,5,4,0,2,6,5,5,6,7,7,1,NA,2,5,2,5,5,2,2,2,5,5,2,5,2,5,2,5,2,5,2,5
"18",5,360,5,9,5,6,4,1,7,8,8,6,5,7,1,NA,3,5,1,4,3,5,2,3,3,2,2,2,2,4,2,3,2,3,2,3
"19",3,NA,4,2,5,5,5,2,6,8,6,5,3,3,1,NA,2,3,1,5,3,3,1,3,5,3,2,3,3,5,3,4,2,3,3,3
"20",5,60,7,7,5,4,6,1,7,8,8,8,7,7,1,NA,2,4,1,4,4,3,2,2,3,2,2,4,3,3,2,2,2,3,4,3
"21",5,270,7,7,5,6,6,2,5,4,4,1,6,7,1,NA,3,4,2,5,3,2,1,1,3,3,2,4,4,4,2,3,1,2,2,3
"22",2,NA,1,7,6,6,6,2,7,8,6,8,6,6,1,NA,3,4,4,4,3,3,2,3,4,4,4,4,2,3,2,4,3,3,2,2
"23",1,NA,5,8,5,5,5,2,5,8,6,8,6,6,1,NA,4,4,2,4,2,3,4,2,2,2,4,4,2,4,3,2,3,2,2,3
"24",5,240,6,7,5,5,5,1,8,6,5,2,6,7,1,NA,2,4,3,2,5,3,3,4,2,2,2,2,4,4,3,2,2,2,1,2
"25",5,60,5,6,4,5,NA,1,9,8,8,0,7,7,1,NA,1,3,1,2,4,3,2,3,3,1,1,1,2,2,2,3,2,2,5,3
"26",5,60,4,2,6,5,5,2,7,7,6,6,3,7,1,NA,3,4,2,2,2,3,2,3,2,3,3,3,3,5,3,3,3,1,2,4
"27",5,240,5,3,2,5,5,2,5,8,8,8,4,1,1,NA,2,4,2,3,3,3,2,3,3,2,2,3,2,2,2,3,3,3,3,2
"28",5,120,4,6,4,3,6,1,6,3,3,7,7,3,1,NA,4,5,3,4,5,5,3,4,2,2,4,5,3,2,5,4,3,3,4,2
"29",1,NA,7,8,5,6,5,2,6,10,9,9,6,1,1,NA,2,3,2,3,2,2,4,1,4,3,2,3,2,5,2,1,2,3,1,6
"30",5,720,7,7,5,8,7,1,5,10,8,0,7,7,1,NA,1,4,3,3,3,3,2,2,2,1,1,2,2,5,2,3,1,1,1,1
"31",4,60,3,6,3,3,3,1,6,6,6,5,6,6,1,NA,3,6,1,3,1,5,2,2,4,4,1,5,3,6,4,6,1,2,2,1
"32",5,30,5,8,6,6,6,1,4,7,7,4,5,6,1,NA,2,4,2,2,3,2,1,2,1,4,2,2,2,6,3,3,2,3,3,2
"33",5,240,5,8,6,7,5,2,3,6,5,6,5,5,1,NA,2,4,2,2,3,4,2,2,2,4,2,4,3,1,2,5,2,2,2,2
"34",5,60,4,5,5,4,3,3,3,8,6,5,6,6,1,NA,3,3,3,4,2,3,2,2,4,3,3,2,2,2,2,2,3,2,3,4
"35",5,150,0,7,0,0,0,3,0,9,0,0,7,7,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2
"36",5,360,4,5,3,3,6,1,9,8,5,1,7,7,1,NA,2,3,1,3,1,3,2,1,3,2,2,3,2,6,3,3,2,2,2,3
"37",5,600,4,8,3,0,5,1,0,8,2,7,7,6,1,NA,3,4,3,5,2,3,3,2,2,3,3,3,2,5,3,4,2,1,2,2
"38",1,NA,5,5,5,NA,NA,1,NA,9,4,8,5,6,NA,NA,6,3,5,6,2,2,3,4,3,6,2,2,2,2,3,1,3,3,1,3
"39",1,NA,3,10,7,9,9,3,4,10,10,10,7,7,65,NA,1,6,1,1,1,1,1,6,1,5,1,2,1,1,1,1,1,1,3,3
"40",5,300,8,9,7,8,7,1,6,6,5,2,7,7,1,NA,3,5,3,3,2,4,3,5,2,2,1,3,4,2,2,3,1,3,2,2
"41",5,300,4,5,3,4,4,1,5,5,2,0,7,7,1,NA,3,4,1,2,3,4,3,3,1,3,1,4,2,4,3,2,1,4,2,2
"42",5,150,4,9,5,5,5,2,3,7,7,5,6,4,1,NA,3,3,2,4,2,5,2,2,3,2,2,3,3,2,3,3,5,3,2,3
"43",5,120,10,10,9,10,10,2,10,8,9,9,4,4,1,NA,2,5,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2
"44",5,300,1,1,0,0,0,1,1,2,0,0,7,7,2,NA,4,6,2,4,5,6,3,2,3,1,3,5,5,2,2,5,3,1,5,3
"45",5,600,6,7,3,3,7,1,2,8,2,6,6,6,2,NA,3,2,3,6,2,2,2,2,3,2,1,5,2,5,3,3,3,3,3,3
"46",1,NA,6,8,NA,4,3,2,8,7,7,5,7,7,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
"47",5,240,5,7,0,0,7,1,0,9,5,0,7,7,2,NA,3,4,1,3,3,3,2,2,3,4,2,4,1,4,3,4,1,1,1,2
"48",5,30,5,7,7,7,7,1,8,7,8,0,7,7,1,NA,3,5,1,3,4,5,2,3,4,2,2,2,3,3,3,4,2,1,5,4
"49",5,60,6,8,3,5,7,1,8,8,8,7,7,1,1,NA,1,5,1,3,4,3,2,3,3,2,2,3,3,4,3,4,1,1,3,3
"50",5,240,3,8,5,5,5,1,7,7,6,2,6,7,1,NA,4,3,3,4,2,5,4,3,3,3,3,3,4,4,3,4,3,3,2,2
"51",5,120,6,4,4,7,6,1,6,5,4,1,7,7,1,NA,1,2,2,2,2,2,2,3,3,4,2,2,3,4,1,1,1,2,3,2
"52",1,NA,8,10,5,9,5,2,10,4,7,8,5,6,1,NA,5,6,2,2,2,6,1,4,2,1,1,2,3,2,3,4,2,1,4,2
"53",5,120,7,1,4,5,8,1,10,7,4,0,7,7,1,NA,1,2,3,2,3,3,2,4,5,1,3,1,4,4,2,2,1,3,4,5
"54",5,180,5,8,4,5,5,2,3,9,5,8,7,2,1,NA,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2
"55",3,NA,4,2,2,1,1,1,9,2,2,8,6,2,1,NA,2,4,1,4,1,1,1,1,2,3,1,3,1,5,1,3,1,2,2,3
"56",1,NA,8,7,5,5,9,4,4,3,4,8,7,7,1,NA,4,5,2,4,2,2,2,3,3,2,3,4,2,5,2,3,2,2,2,2
"57",5,120,3,4,3,3,4,2,4,4,4,6,5,4,1,NA,2,4,3,2,1,4,3,2,1,1,3,3,3,4,3,2,2,2,2,1
"58",5,900,0,0,0,0,0,1,2,9,3,6,6,6,1,NA,1,6,1,6,3,2,1,1,1,1,1,4,1,3,5,3,1,2,3,3
"59",5,180,8,9,7,8,9,1,9,9,9,8,7,6,1,NA,1,4,1,2,3,2,1,2,2,1,1,2,1,4,1,2,1,1,3,2
"60",5,150,5,7,6,5,3,2,8,7,10,3,7,7,1,NA,3,5,1,6,5,3,2,2,4,1,2,4,4,1,2,5,2,1,2,2
"61",5,60,5,6,5,5,6,2,5,6,6,6,7,6,1,NA,1,5,2,2,2,5,2,2,3,3,1,2,2,2,2,3,1,1,2,1
"62",5,240,3,8,4,5,5,1,8,5,5,2,7,6,1,NA,2,4,2,4,2,3,2,2,2,3,3,5,3,4,3,4,2,2,3,2
"63",4,120,6,7,5,7,7,1,6,6,6,1,7,7,1,NA,2,5,2,4,3,4,2,2,3,2,2,5,4,5,2,3,2,2,4,3
"64",5,165,5,7,6,6,7,2,6,6,6,0,7,7,1,NA,4,3,3,2,3,3,3,4,2,3,3,3,4,3,2,3,2,4,5,2
